drwxr-xr-x 1000       1000             4096 ./usr
-rwxr-xr-x root       root            10184 ./usr/lib/jvm/java-7-openjdk/bin/.debug/native2ascii
-rwxr-xr-x root       root            10184 ./usr/lib/jvm/java-7-openjdk/bin/.debug/rmic
-rwxr-xr-x root       root            10184 ./usr/lib/jvm/java-7-openjdk/bin/.debug/schemagen
-rwxr-xr-x root       root            10184 ./usr/lib/jvm/java-7-openjdk/bin/.debug/serialver
-rwxr-xr-x root       root            10184 ./usr/lib/jvm/java-7-openjdk/bin/.debug/wsgen
-rwxr-xr-x root       root            10184 ./usr/lib/jvm/java-7-openjdk/bin/.debug/wsimport
-rwxr-xr-x root       root            10184 ./usr/lib/jvm/java-7-openjdk/bin/.debug/xjc
drwxr-xr-x root       root             4096 ./usr/lib/jvm/java-7-openjdk/jre
drwxr-xr-x root       root             4096 ./usr/lib/jvm/java-7-openjdk/jre/bin
drwxr-xr-x root       root             4096 ./usr/lib/jvm/java-7-openjdk/jre/bin/.debug
-rwxr-xr-x root       root            10224 ./usr/lib/jvm/java-7-openjdk/jre/bin/.debug/java
-rwxr-xr-x root       root            10184 ./usr/lib/jvm/java-7-openjdk/jre/bin/.debug/keytool
-rwxr-xr-x root       root            10200 ./usr/lib/jvm/java-7-openjdk/jre/bin/.debug/orbd
-rwxr-xr-x root       root            10184 ./usr/lib/jvm/java-7-openjdk/jre/bin/.debug/pack200
-rwxr-xr-x root       root            10184 ./usr/lib/jvm/java-7-openjdk/jre/bin/.debug/policytool
-rwxr-xr-x root       root            10184 ./usr/lib/jvm/java-7-openjdk/jre/bin/.debug/rmid
-rwxr-xr-x root       root            10184 ./usr/lib/jvm/java-7-openjdk/jre/bin/.debug/rmiregistry
-rwxr-xr-x root       root            10184 ./usr/lib/jvm/java-7-openjdk/jre/bin/.debug/servertool
-rwxr-xr-x root       root            10200 ./usr/lib/jvm/java-7-openjdk/jre/bin/.debug/tnameserv
-rwxr-xr-x root       root           214676 ./usr/lib/jvm/java-7-openjdk/jre/bin/.debug/unpack200
drwxr-xr-x root       root             4096 ./usr/lib/jvm/java-7-openjdk/jre/lib
drwxr-xr-x root       root             4096 ./usr/lib/jvm/java-7-openjdk/jre/lib/.debug
-rwxr-xr-x root       root            12048 ./usr/lib/jvm/java-7-openjdk/jre/lib/.debug/jexec
drwxr-xr-x root       root             4096 ./usr/lib/jvm/java-7-openjdk/jre/lib/mips
drwxr-xr-x root       root             4096 ./usr/lib/jvm/java-7-openjdk/jre/lib/mips/.debug
-rwxr-xr-x root       root            36304 ./usr/lib/jvm/java-7-openjdk/jre/lib/mips/.debug/libattach.so
-rwxr-xr-x root       root          1565204 ./usr/lib/jvm/java-7-openjdk/jre/lib/mips/.debug/libawt.so
-rwxr-xr-x root       root            28784 ./usr/lib/jvm/java-7-openjdk/jre/lib/mips/.debug/libdt_socket.so
-rwxr-xr-x root       root          1567920 ./usr/lib/jvm/java-7-openjdk/jre/lib/mips/.debug/libfontmanager.so
-rwxr-xr-x root       root           816616 ./usr/lib/jvm/java-7-openjdk/jre/lib/mips/.debug/libhprof.so
-rwxr-xr-x root       root           215864 ./usr/lib/jvm/java-7-openjdk/jre/lib/mips/.debug/libinstrument.so
-rwxr-xr-x root       root            70248 ./usr/lib/jvm/java-7-openjdk/jre/lib/mips/.debug/libj2gss.so
-rwxr-xr-x root       root            24160 ./usr/lib/jvm/java-7-openjdk/jre/lib/mips/.debug/libj2krb5.so
-rwxr-xr-x root       root            45764 ./usr/lib/jvm/java-7-openjdk/jre/lib/mips/.debug/libj2pcsc.so
-rwxr-xr-x root       root           283908 ./usr/lib/jvm/java-7-openjdk/jre/lib/mips/.debug/libj2pkcs11.so
-rwxr-xr-x root       root            23760 ./usr/lib/jvm/java-7-openjdk/jre/lib/mips/.debug/libjaas_unix.so
-rwxr-xr-x root       root           883320 ./usr/lib/jvm/java-7-openjdk/jre/lib/mips/.debug/libjava.so
-rwxr-xr-x root       root            35256 ./usr/lib/jvm/java-7-openjdk/jre/lib/mips/.debug/libjava_crw_demo.so
-rwxr-xr-x root       root           133688 ./usr/lib/jvm/java-7-openjdk/jre/lib/mips/.debug/libjavagtk.so
-rwxr-xr-x root       root            80708 ./usr/lib/jvm/java-7-openjdk/jre/lib/mips/.debug/libjavajpeg.so
-rwxr-xr-x root       root           460240 ./usr/lib/jvm/java-7-openjdk/jre/lib/mips/.debug/libjavalcms.so
-rwxr-xr-x root       root            74892 ./usr/lib/jvm/java-7-openjdk/jre/lib/mips/.debug/libjavasctp.so
-rwxr-xr-x root       root            23492 ./usr/lib/jvm/java-7-openjdk/jre/lib/mips/.debug/libjawt.so
-rwxr-xr-x root       root          1105608 ./usr/lib/jvm/java-7-openjdk/jre/lib/mips/.debug/libjdwp.so
-rwxr-xr-x root       root            40424 ./usr/lib/jvm/java-7-openjdk/jre/lib/mips/.debug/libjsdt.so
-rwxr-xr-x root       root            11488 ./usr/lib/jvm/java-7-openjdk/jre/lib/mips/.debug/libjsig.so
-rwxr-xr-x root       root            36144 ./usr/lib/jvm/java-7-openjdk/jre/lib/mips/.debug/libjsound.so
-rwxr-xr-x root       root           203052 ./usr/lib/jvm/java-7-openjdk/jre/lib/mips/.debug/libjsoundalsa.so
-rwxr-xr-x root       root           286440 ./usr/lib/jvm/java-7-openjdk/jre/lib/mips/.debug/libmanagement.so
-rwxr-xr-x root       root           689308 ./usr/lib/jvm/java-7-openjdk/jre/lib/mips/.debug/libmlib_image.so
-rwxr-xr-x root       root           379656 ./usr/lib/jvm/java-7-openjdk/jre/lib/mips/.debug/libnet.so
-rwxr-xr-x root       root           408436 ./usr/lib/jvm/java-7-openjdk/jre/lib/mips/.debug/libnio.so
-rwxr-xr-x root       root            24708 ./usr/lib/jvm/java-7-openjdk/jre/lib/mips/.debug/libnpt.so
-rwxr-xr-x root       root           119840 ./usr/lib/jvm/java-7-openjdk/jre/lib/mips/.debug/libsplashscreen.so
-rwxr-xr-x root       root           248220 ./usr/lib/jvm/java-7-openjdk/jre/lib/mips/.debug/libunpack.so
-rwxr-xr-x root       root            64952 ./usr/lib/jvm/java-7-openjdk/jre/lib/mips/.debug/libverify.so
-rwxr-xr-x root       root           109572 ./usr/lib/jvm/java-7-openjdk/jre/lib/mips/.debug/libzip.so
drwxr-xr-x root       root             4096 ./usr/lib/jvm/java-7-openjdk/jre/lib/mips/headless
drwxr-xr-x root       root             4096 ./usr/lib/jvm/java-7-openjdk/jre/lib/mips/headless/.debug
-rwxr-xr-x root       root           176488 ./usr/lib/jvm/java-7-openjdk/jre/lib/mips/headless/.debug/libmawt.so
drwxr-xr-x root       root             4096 ./usr/lib/jvm/java-7-openjdk/jre/lib/mips/jli
drwxr-xr-x root       root             4096 ./usr/lib/jvm/java-7-openjdk/jre/lib/mips/jli/.debug
-rwxr-xr-x root       root           111064 ./usr/lib/jvm/java-7-openjdk/jre/lib/mips/jli/.debug/libjli.so
drwxr-xr-x root       root             4096 ./usr/lib/jvm/java-7-openjdk/jre/lib/mips/server
drwxr-xr-x root       root             4096 ./usr/lib/jvm/java-7-openjdk/jre/lib/mips/server/.debug
-rwxr-xr-x root       root        125822316 ./usr/lib/jvm/java-7-openjdk/jre/lib/mips/server/.debug/libjvm.so
drwxr-xr-x root       root             4096 ./usr/lib/jvm/java-7-openjdk/jre/lib/mips/xawt
drwxr-xr-x root       root             4096 ./usr/lib/jvm/java-7-openjdk/jre/lib/mips/xawt/.debug
-rwxr-xr-x root       root          1048232 ./usr/lib/jvm/java-7-openjdk/jre/lib/mips/xawt/.debug/libmawt.so
drwxr-xr-x root       root             4096 ./usr/lib/jvm/java-7-openjdk/lib
drwxr-xr-x root       root             4096 ./usr/lib/jvm/java-7-openjdk/lib/.debug
-rwxr-xr-x root       root            12048 ./usr/lib/jvm/java-7-openjdk/lib/.debug/jexec
drwxr-xr-x root       root             4096 ./usr/lib/jvm/java-7-openjdk/lib/mips
drwxr-xr-x root       root             4096 ./usr/lib/jvm/java-7-openjdk/lib/mips/jli
drwxr-xr-x root       root             4096 ./usr/lib/jvm/java-7-openjdk/lib/mips/jli/.debug
-rwxr-xr-x root       root           111064 ./usr/lib/jvm/java-7-openjdk/lib/mips/jli/.debug/libjli.so
