drwxr-xr-x 1000       1000             4096 ./usr
-rwxr-xr-x root       root            11776 ./usr/lib/jvm/java-7-openjdk/bin/.debug/native2ascii
-rwxr-xr-x root       root            11776 ./usr/lib/jvm/java-7-openjdk/bin/.debug/rmic
-rwxr-xr-x root       root            11776 ./usr/lib/jvm/java-7-openjdk/bin/.debug/schemagen
-rwxr-xr-x root       root            11776 ./usr/lib/jvm/java-7-openjdk/bin/.debug/serialver
-rwxr-xr-x root       root            11776 ./usr/lib/jvm/java-7-openjdk/bin/.debug/wsgen
-rwxr-xr-x root       root            11776 ./usr/lib/jvm/java-7-openjdk/bin/.debug/wsimport
-rwxr-xr-x root       root            11776 ./usr/lib/jvm/java-7-openjdk/bin/.debug/xjc
drwxr-xr-x root       root             4096 ./usr/lib/jvm/java-7-openjdk/jre
drwxr-xr-x root       root             4096 ./usr/lib/jvm/java-7-openjdk/jre/bin
drwxr-xr-x root       root             4096 ./usr/lib/jvm/java-7-openjdk/jre/bin/.debug
-rwxr-xr-x root       root            11792 ./usr/lib/jvm/java-7-openjdk/jre/bin/.debug/java
-rwxr-xr-x root       root            11776 ./usr/lib/jvm/java-7-openjdk/jre/bin/.debug/keytool
-rwxr-xr-x root       root            11792 ./usr/lib/jvm/java-7-openjdk/jre/bin/.debug/orbd
-rwxr-xr-x root       root            11776 ./usr/lib/jvm/java-7-openjdk/jre/bin/.debug/pack200
-rwxr-xr-x root       root            11776 ./usr/lib/jvm/java-7-openjdk/jre/bin/.debug/policytool
-rwxr-xr-x root       root            11776 ./usr/lib/jvm/java-7-openjdk/jre/bin/.debug/rmid
-rwxr-xr-x root       root            11776 ./usr/lib/jvm/java-7-openjdk/jre/bin/.debug/rmiregistry
-rwxr-xr-x root       root            11776 ./usr/lib/jvm/java-7-openjdk/jre/bin/.debug/servertool
-rwxr-xr-x root       root            11792 ./usr/lib/jvm/java-7-openjdk/jre/bin/.debug/tnameserv
-rwxr-xr-x root       root           218440 ./usr/lib/jvm/java-7-openjdk/jre/bin/.debug/unpack200
drwxr-xr-x root       root             4096 ./usr/lib/jvm/java-7-openjdk/jre/lib
drwxr-xr-x root       root             4096 ./usr/lib/jvm/java-7-openjdk/jre/lib/.debug
-rwxr-xr-x root       root            13520 ./usr/lib/jvm/java-7-openjdk/jre/lib/.debug/jexec
drwxr-xr-x root       root             4096 ./usr/lib/jvm/java-7-openjdk/jre/lib/amd64
drwxr-xr-x root       root             4096 ./usr/lib/jvm/java-7-openjdk/jre/lib/amd64/.debug
-rwxr-xr-x root       root            37224 ./usr/lib/jvm/java-7-openjdk/jre/lib/amd64/.debug/libattach.so
-rwxr-xr-x root       root          1533528 ./usr/lib/jvm/java-7-openjdk/jre/lib/amd64/.debug/libawt.so
-rwxr-xr-x root       root            27872 ./usr/lib/jvm/java-7-openjdk/jre/lib/amd64/.debug/libdt_socket.so
-rwxr-xr-x root       root          1615576 ./usr/lib/jvm/java-7-openjdk/jre/lib/amd64/.debug/libfontmanager.so
-rwxr-xr-x root       root           780280 ./usr/lib/jvm/java-7-openjdk/jre/lib/amd64/.debug/libhprof.so
-rwxr-xr-x root       root           212256 ./usr/lib/jvm/java-7-openjdk/jre/lib/amd64/.debug/libinstrument.so
-rwxr-xr-x root       root            69616 ./usr/lib/jvm/java-7-openjdk/jre/lib/amd64/.debug/libj2gss.so
-rwxr-xr-x root       root            25624 ./usr/lib/jvm/java-7-openjdk/jre/lib/amd64/.debug/libj2krb5.so
-rwxr-xr-x root       root            46016 ./usr/lib/jvm/java-7-openjdk/jre/lib/amd64/.debug/libj2pcsc.so
-rwxr-xr-x root       root           276392 ./usr/lib/jvm/java-7-openjdk/jre/lib/amd64/.debug/libj2pkcs11.so
-rwxr-xr-x root       root            25320 ./usr/lib/jvm/java-7-openjdk/jre/lib/amd64/.debug/libjaas_unix.so
-rwxr-xr-x root       root           848688 ./usr/lib/jvm/java-7-openjdk/jre/lib/amd64/.debug/libjava.so
-rwxr-xr-x root       root            32768 ./usr/lib/jvm/java-7-openjdk/jre/lib/amd64/.debug/libjava_crw_demo.so
-rwxr-xr-x root       root           132184 ./usr/lib/jvm/java-7-openjdk/jre/lib/amd64/.debug/libjavagtk.so
-rwxr-xr-x root       root            78824 ./usr/lib/jvm/java-7-openjdk/jre/lib/amd64/.debug/libjavajpeg.so
-rwxr-xr-x root       root           403032 ./usr/lib/jvm/java-7-openjdk/jre/lib/amd64/.debug/libjavalcms.so
-rwxr-xr-x root       root            74424 ./usr/lib/jvm/java-7-openjdk/jre/lib/amd64/.debug/libjavasctp.so
-rwxr-xr-x root       root            24936 ./usr/lib/jvm/java-7-openjdk/jre/lib/amd64/.debug/libjawt.so
-rwxr-xr-x root       root          1071448 ./usr/lib/jvm/java-7-openjdk/jre/lib/amd64/.debug/libjdwp.so
-rwxr-xr-x root       root            41192 ./usr/lib/jvm/java-7-openjdk/jre/lib/amd64/.debug/libjsdt.so
-rwxr-xr-x root       root            12664 ./usr/lib/jvm/java-7-openjdk/jre/lib/amd64/.debug/libjsig.so
-rwxr-xr-x root       root            37152 ./usr/lib/jvm/java-7-openjdk/jre/lib/amd64/.debug/libjsound.so
-rwxr-xr-x root       root           192776 ./usr/lib/jvm/java-7-openjdk/jre/lib/amd64/.debug/libjsoundalsa.so
-rwxr-xr-x root       root           273968 ./usr/lib/jvm/java-7-openjdk/jre/lib/amd64/.debug/libmanagement.so
-rwxr-xr-x root       root           620696 ./usr/lib/jvm/java-7-openjdk/jre/lib/amd64/.debug/libmlib_image.so
-rwxr-xr-x root       root           373248 ./usr/lib/jvm/java-7-openjdk/jre/lib/amd64/.debug/libnet.so
-rwxr-xr-x root       root           388904 ./usr/lib/jvm/java-7-openjdk/jre/lib/amd64/.debug/libnio.so
-rwxr-xr-x root       root            25760 ./usr/lib/jvm/java-7-openjdk/jre/lib/amd64/.debug/libnpt.so
-rwxr-xr-x root       root           111560 ./usr/lib/jvm/java-7-openjdk/jre/lib/amd64/.debug/libsplashscreen.so
-rwxr-xr-x root       root           252648 ./usr/lib/jvm/java-7-openjdk/jre/lib/amd64/.debug/libunpack.so
-rwxr-xr-x root       root            63664 ./usr/lib/jvm/java-7-openjdk/jre/lib/amd64/.debug/libverify.so
-rwxr-xr-x root       root           106288 ./usr/lib/jvm/java-7-openjdk/jre/lib/amd64/.debug/libzip.so
drwxr-xr-x root       root             4096 ./usr/lib/jvm/java-7-openjdk/jre/lib/amd64/headless
drwxr-xr-x root       root             4096 ./usr/lib/jvm/java-7-openjdk/jre/lib/amd64/headless/.debug
-rwxr-xr-x root       root           172752 ./usr/lib/jvm/java-7-openjdk/jre/lib/amd64/headless/.debug/libmawt.so
drwxr-xr-x root       root             4096 ./usr/lib/jvm/java-7-openjdk/jre/lib/amd64/jli
drwxr-xr-x root       root             4096 ./usr/lib/jvm/java-7-openjdk/jre/lib/amd64/jli/.debug
-rwxr-xr-x root       root           105160 ./usr/lib/jvm/java-7-openjdk/jre/lib/amd64/jli/.debug/libjli.so
drwxr-xr-x root       root             4096 ./usr/lib/jvm/java-7-openjdk/jre/lib/amd64/server
drwxr-xr-x root       root             4096 ./usr/lib/jvm/java-7-openjdk/jre/lib/amd64/server/.debug
-rwxr-xr-x root       root        136903328 ./usr/lib/jvm/java-7-openjdk/jre/lib/amd64/server/.debug/libjvm.so
drwxr-xr-x root       root             4096 ./usr/lib/jvm/java-7-openjdk/jre/lib/amd64/xawt
drwxr-xr-x root       root             4096 ./usr/lib/jvm/java-7-openjdk/jre/lib/amd64/xawt/.debug
-rwxr-xr-x root       root          1013704 ./usr/lib/jvm/java-7-openjdk/jre/lib/amd64/xawt/.debug/libmawt.so
drwxr-xr-x root       root             4096 ./usr/lib/jvm/java-7-openjdk/lib
drwxr-xr-x root       root             4096 ./usr/lib/jvm/java-7-openjdk/lib/.debug
-rwxr-xr-x root       root            13520 ./usr/lib/jvm/java-7-openjdk/lib/.debug/jexec
drwxr-xr-x root       root             4096 ./usr/lib/jvm/java-7-openjdk/lib/amd64
drwxr-xr-x root       root             4096 ./usr/lib/jvm/java-7-openjdk/lib/amd64/jli
drwxr-xr-x root       root             4096 ./usr/lib/jvm/java-7-openjdk/lib/amd64/jli/.debug
-rwxr-xr-x root       root           105160 ./usr/lib/jvm/java-7-openjdk/lib/amd64/jli/.debug/libjli.so
