drwxr-xr-x 1000       1000             4096 ./usr
-rwxr-xr-x root       root            11792 ./usr/lib/jvm/java-7-openjdk/bin/.debug/native2ascii
-rwxr-xr-x root       root            11792 ./usr/lib/jvm/java-7-openjdk/bin/.debug/rmic
-rwxr-xr-x root       root            11792 ./usr/lib/jvm/java-7-openjdk/bin/.debug/schemagen
-rwxr-xr-x root       root            11792 ./usr/lib/jvm/java-7-openjdk/bin/.debug/serialver
-rwxr-xr-x root       root            11792 ./usr/lib/jvm/java-7-openjdk/bin/.debug/wsgen
-rwxr-xr-x root       root            11792 ./usr/lib/jvm/java-7-openjdk/bin/.debug/wsimport
-rwxr-xr-x root       root            11792 ./usr/lib/jvm/java-7-openjdk/bin/.debug/xjc
drwxr-xr-x root       root             4096 ./usr/lib/jvm/java-7-openjdk/jre
drwxr-xr-x root       root             4096 ./usr/lib/jvm/java-7-openjdk/jre/bin
drwxr-xr-x root       root             4096 ./usr/lib/jvm/java-7-openjdk/jre/bin/.debug
-rwxr-xr-x root       root            11808 ./usr/lib/jvm/java-7-openjdk/jre/bin/.debug/java
-rwxr-xr-x root       root            11792 ./usr/lib/jvm/java-7-openjdk/jre/bin/.debug/keytool
-rwxr-xr-x root       root            11808 ./usr/lib/jvm/java-7-openjdk/jre/bin/.debug/orbd
-rwxr-xr-x root       root            11792 ./usr/lib/jvm/java-7-openjdk/jre/bin/.debug/pack200
-rwxr-xr-x root       root            11792 ./usr/lib/jvm/java-7-openjdk/jre/bin/.debug/policytool
-rwxr-xr-x root       root            11792 ./usr/lib/jvm/java-7-openjdk/jre/bin/.debug/rmid
-rwxr-xr-x root       root            11792 ./usr/lib/jvm/java-7-openjdk/jre/bin/.debug/rmiregistry
-rwxr-xr-x root       root            11792 ./usr/lib/jvm/java-7-openjdk/jre/bin/.debug/servertool
-rwxr-xr-x root       root            11808 ./usr/lib/jvm/java-7-openjdk/jre/bin/.debug/tnameserv
-rwxr-xr-x root       root           218424 ./usr/lib/jvm/java-7-openjdk/jre/bin/.debug/unpack200
drwxr-xr-x root       root             4096 ./usr/lib/jvm/java-7-openjdk/jre/lib
drwxr-xr-x root       root             4096 ./usr/lib/jvm/java-7-openjdk/jre/lib/.debug
-rwxr-xr-x root       root            13536 ./usr/lib/jvm/java-7-openjdk/jre/lib/.debug/jexec
drwxr-xr-x root       root             4096 ./usr/lib/jvm/java-7-openjdk/jre/lib/amd64
drwxr-xr-x root       root             4096 ./usr/lib/jvm/java-7-openjdk/jre/lib/amd64/.debug
-rwxr-xr-x root       root            37240 ./usr/lib/jvm/java-7-openjdk/jre/lib/amd64/.debug/libattach.so
-rwxr-xr-x root       root          1533456 ./usr/lib/jvm/java-7-openjdk/jre/lib/amd64/.debug/libawt.so
-rwxr-xr-x root       root            27880 ./usr/lib/jvm/java-7-openjdk/jre/lib/amd64/.debug/libdt_socket.so
-rwxr-xr-x root       root          1615568 ./usr/lib/jvm/java-7-openjdk/jre/lib/amd64/.debug/libfontmanager.so
-rwxr-xr-x root       root           780280 ./usr/lib/jvm/java-7-openjdk/jre/lib/amd64/.debug/libhprof.so
-rwxr-xr-x root       root           212248 ./usr/lib/jvm/java-7-openjdk/jre/lib/amd64/.debug/libinstrument.so
-rwxr-xr-x root       root            69640 ./usr/lib/jvm/java-7-openjdk/jre/lib/amd64/.debug/libj2gss.so
-rwxr-xr-x root       root            25632 ./usr/lib/jvm/java-7-openjdk/jre/lib/amd64/.debug/libj2krb5.so
-rwxr-xr-x root       root            46040 ./usr/lib/jvm/java-7-openjdk/jre/lib/amd64/.debug/libj2pcsc.so
-rwxr-xr-x root       root           276400 ./usr/lib/jvm/java-7-openjdk/jre/lib/amd64/.debug/libj2pkcs11.so
-rwxr-xr-x root       root            25328 ./usr/lib/jvm/java-7-openjdk/jre/lib/amd64/.debug/libjaas_unix.so
-rwxr-xr-x root       root           848656 ./usr/lib/jvm/java-7-openjdk/jre/lib/amd64/.debug/libjava.so
-rwxr-xr-x root       root            32776 ./usr/lib/jvm/java-7-openjdk/jre/lib/amd64/.debug/libjava_crw_demo.so
-rwxr-xr-x root       root           132144 ./usr/lib/jvm/java-7-openjdk/jre/lib/amd64/.debug/libjavagtk.so
-rwxr-xr-x root       root            78824 ./usr/lib/jvm/java-7-openjdk/jre/lib/amd64/.debug/libjavajpeg.so
-rwxr-xr-x root       root           403024 ./usr/lib/jvm/java-7-openjdk/jre/lib/amd64/.debug/libjavalcms.so
-rwxr-xr-x root       root            74416 ./usr/lib/jvm/java-7-openjdk/jre/lib/amd64/.debug/libjavasctp.so
-rwxr-xr-x root       root            24944 ./usr/lib/jvm/java-7-openjdk/jre/lib/amd64/.debug/libjawt.so
-rwxr-xr-x root       root          1071384 ./usr/lib/jvm/java-7-openjdk/jre/lib/amd64/.debug/libjdwp.so
-rwxr-xr-x root       root            41192 ./usr/lib/jvm/java-7-openjdk/jre/lib/amd64/.debug/libjsdt.so
-rwxr-xr-x root       root            12672 ./usr/lib/jvm/java-7-openjdk/jre/lib/amd64/.debug/libjsig.so
-rwxr-xr-x root       root            37160 ./usr/lib/jvm/java-7-openjdk/jre/lib/amd64/.debug/libjsound.so
-rwxr-xr-x root       root           192760 ./usr/lib/jvm/java-7-openjdk/jre/lib/amd64/.debug/libjsoundalsa.so
-rwxr-xr-x root       root           273968 ./usr/lib/jvm/java-7-openjdk/jre/lib/amd64/.debug/libmanagement.so
-rwxr-xr-x root       root           620672 ./usr/lib/jvm/java-7-openjdk/jre/lib/amd64/.debug/libmlib_image.so
-rwxr-xr-x root       root           373128 ./usr/lib/jvm/java-7-openjdk/jre/lib/amd64/.debug/libnet.so
-rwxr-xr-x root       root           388816 ./usr/lib/jvm/java-7-openjdk/jre/lib/amd64/.debug/libnio.so
-rwxr-xr-x root       root            25768 ./usr/lib/jvm/java-7-openjdk/jre/lib/amd64/.debug/libnpt.so
-rwxr-xr-x root       root           111528 ./usr/lib/jvm/java-7-openjdk/jre/lib/amd64/.debug/libsplashscreen.so
-rwxr-xr-x root       root           252624 ./usr/lib/jvm/java-7-openjdk/jre/lib/amd64/.debug/libunpack.so
-rwxr-xr-x root       root            63672 ./usr/lib/jvm/java-7-openjdk/jre/lib/amd64/.debug/libverify.so
-rwxr-xr-x root       root           106288 ./usr/lib/jvm/java-7-openjdk/jre/lib/amd64/.debug/libzip.so
drwxr-xr-x root       root             4096 ./usr/lib/jvm/java-7-openjdk/jre/lib/amd64/headless
drwxr-xr-x root       root             4096 ./usr/lib/jvm/java-7-openjdk/jre/lib/amd64/headless/.debug
-rwxr-xr-x root       root           172744 ./usr/lib/jvm/java-7-openjdk/jre/lib/amd64/headless/.debug/libmawt.so
drwxr-xr-x root       root             4096 ./usr/lib/jvm/java-7-openjdk/jre/lib/amd64/jli
drwxr-xr-x root       root             4096 ./usr/lib/jvm/java-7-openjdk/jre/lib/amd64/jli/.debug
-rwxr-xr-x root       root           105160 ./usr/lib/jvm/java-7-openjdk/jre/lib/amd64/jli/.debug/libjli.so
drwxr-xr-x root       root             4096 ./usr/lib/jvm/java-7-openjdk/jre/lib/amd64/server
drwxr-xr-x root       root             4096 ./usr/lib/jvm/java-7-openjdk/jre/lib/amd64/server/.debug
-rwxr-xr-x root       root        136810880 ./usr/lib/jvm/java-7-openjdk/jre/lib/amd64/server/.debug/libjvm.so
drwxr-xr-x root       root             4096 ./usr/lib/jvm/java-7-openjdk/jre/lib/amd64/xawt
drwxr-xr-x root       root             4096 ./usr/lib/jvm/java-7-openjdk/jre/lib/amd64/xawt/.debug
-rwxr-xr-x root       root          1013552 ./usr/lib/jvm/java-7-openjdk/jre/lib/amd64/xawt/.debug/libmawt.so
drwxr-xr-x root       root             4096 ./usr/lib/jvm/java-7-openjdk/lib
drwxr-xr-x root       root             4096 ./usr/lib/jvm/java-7-openjdk/lib/.debug
-rwxr-xr-x root       root            13536 ./usr/lib/jvm/java-7-openjdk/lib/.debug/jexec
drwxr-xr-x root       root             4096 ./usr/lib/jvm/java-7-openjdk/lib/amd64
drwxr-xr-x root       root             4096 ./usr/lib/jvm/java-7-openjdk/lib/amd64/jli
drwxr-xr-x root       root             4096 ./usr/lib/jvm/java-7-openjdk/lib/amd64/jli/.debug
-rwxr-xr-x root       root           105160 ./usr/lib/jvm/java-7-openjdk/lib/amd64/jli/.debug/libjli.so
